panoID,panoDate,longitude,latitude
I3_kUy4QR3neGplESvPOAA,2019-05,-75.706272,45.415549
eWIVjBIqeSz-gkG7mMNsMA,2019-05,-75.706052,45.415641
d0-4PApboTGpXX9QSCU1dQ,2019-05,-75.705806,45.415744
HO2DARHPoFbYXwOKWQFS5Q,2019-05,-75.705586,45.415837
uVUbg8QduupEMgxq3TTItg,2019-05,-75.705476,45.415883
eyu-Wu9wLGMBEKtEyf0g3g,2019-05,-75.705245,45.415979
95x0YFDupx5LzP2QJwSFAQ,2019-05,-75.705016,45.416071
rR5eVi-NX0x9pjd5Jd0-5g,2019-05,-75.698849,45.418640
KBhOQXicM976UK3cOnSN1A,2019-05,-75.698626,45.418736
Yu-aRBAC9e4p5ZRb7p3N9A,2019-05,-75.698410,45.418829
wzSDn9n5yo4fwNd8eVk9eg,2019-05,-75.698193,45.418923
h4B-qDfVI5duZ82pqHXY-g,2019-05,-75.698016,45.418999
Y3RfFJBv_KLtbWshJnYOcA,2019-05,-75.697801,45.419083
JVNy7o7b825Il1kI3lS3IA,2019-05,-75.697573,45.419172
OVhr6zgzXPznmankl-fflQ,2019-05,-75.697342,45.419262
ecGKr5W4DzNbFPxz8xXXBQ,2019-05,-75.697111,45.419352
5G9H66x4vb33MSsZZP0USg,2018-07,-75.704579,45.416250
EguBcRJCvR0JtV5x1PgabQ,2018-07,-75.704372,45.416337
OZibrqGrTRijkTLgNWFkyQ,2018-07,-75.704151,45.416429
064JNmfKOk_-CS3IHe4vfg,2019-05,-75.703991,45.416496
u-zX0fOwMJQFefCmXlYcDw,2019-05,-75.703716,45.416610
Wc94t6wAA9x56JMcYgBUcw,2019-05,-75.703471,45.416724
cWgvexPSEhelErd6TSeAvQ,2019-05,-75.701001,45.417750
v1BkKApqOaE7ILm9yiy5vQ,2019-05,-75.700777,45.417837
JpvAYyyHp_PnhvnFXQEZ3Q,2019-05,-75.700553,45.417924
g_eaq_SINlEpUTwCTyaGFg,2019-05,-75.700385,45.417989
6zStTLdGXqvToWyy6-NkTQ,2019-05,-75.700111,45.418105
8AMT4rgfs5zMPYA8k2MOLA,2019-05,-75.699891,45.418198
KwJe2wyrgPnLZKV11O78WQ,2019-05,-75.699671,45.418290
gZv2WBS_VeeoZWaxqhZe6Q,2019-05,-75.699444,45.418386
pdL802cv4kqsvKzJX_LaVQ,2019-05,-75.699223,45.418480
ePfyREYsMcob5Mng4uW0QQ,2019-05,-75.696882,45.419448
YaLPMTelP_YT09x1Wok-nQ,2019-05,-75.696625,45.419556
hfIyVq0fOU2QCzEjbQfndw,2019-05,-75.696443,45.419633
uKHa8IIHwOQpDDHQ11GtPw,2019-05,-75.696268,45.419707
c4RSvQVVR6vJPcd2rKnw2A,2019-05,-75.696060,45.419798
jr_Ho5X8eOvr1dze1WngyA,2019-05,-75.695767,45.419924
s3DZdBqTsatORu8yxIfsyw,2019-05,-75.695513,45.420033
u6SB_VfeBbvDOESF7WjJWQ,2019-05,-75.695403,45.420080
S2UQ8d3y106uTuwEgfNFnA,2019-04,-75.695098,45.420179
G01zFPstTkn0r10-H1KWEQ,2019-05,-75.690323,45.422156
0wP2B-86UxcbI9aZQ4Y3mA,2019-05,-75.690096,45.422242
3Oir4f5anuHL4Eo3I-nfTQ,2019-05,-75.689869,45.422328
HQ52ObNXftQmITBKBSDMig,2019-05,-75.689578,45.422445
mDPKACYPajF-aLdzS50CIw,2019-05,-75.689461,45.422493
fQ4rZwXDxVnkK75BtXMdOQ,2019-05,-75.691190,45.421822
Yc00gZ_NpsyFmg0JI9QWlA,2019-05,-75.691047,45.421876
1mbbl-JbA8vAuvYGVeWOxg,2019-05,-75.690843,45.421952
ItAlXtGJsmnuLwkAL9BbYQ,2019-05,-75.690549,45.422071
lUHgaIYN509JfGqGcyGYfg,2019-05,-75.678538,45.437700
WQp95mQxnHeQ4tNjqOn5kQ,2019-05,-75.678422,45.437823
n_GZ3i4Ap13Xb0GPI5XCzQ,2019-05,-75.678086,45.438158
Mor3WqhG8eBHZB3RlIR20A,2019-05,-75.677968,45.438283
pdEn-zfLllFizPBajgpFCA,2019-05,-75.703168,45.416857
cmSjzgn8-0Y6f2lNlESjpA,2019-05,-75.702903,45.416967
m-gTLakcX2sZdBwxeysy2A,2019-05,-75.702682,45.417058
AZit_sLqZP5kzxhBsYha_w,2009-04,-75.702436,45.417160
swX8-76s__BwSewgVJcF7g,2019-05,-75.702171,45.417270
vCR7D9GT3S0QF-0koWoSIw,2019-05,-75.701949,45.417362
juTTf7fxfYEc2OvtvIH94g,2019-05,-75.701721,45.417457
2lF0rKOVcKUswZbqbvb1iw,2019-05,-75.701608,45.417504
